,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1019224.9530001695
2026-02-04,1019995.0950001696
2026-02-05,1015529.3450001696
2026-02-06,1011523.3450001696
2026-02-09,1018975.2450001696
2026-02-10,1032268.2950001695
2026-02-11,1031879.6450001696
2026-02-12,1031388.4450001696
2026-02-13,1014818.4950001695
2026-02-16,1035104.9700001695
2026-02-17,1040596.3700001696
2026-02-18,1048251.9700001695
2026-02-19,1045984.3700001696
2026-02-20,1056932.6200001694
2026-02-23,1056513.6200001696
2026-02-24,1056206.9700001695
2026-02-25,1069648.6189440805
2026-02-26,1076328.8189440803
2026-02-27,1069120.3929440803
2026-03-02,1068524.7429440804
2026-03-04,1057291.3429440805
2026-03-05,1066820.7395779686
2026-03-06,1066500.1995779686
2026-03-09,1058150.3995779685
2026-03-10,1077980.4777779686
2026-03-11,1081309.8897779686
2026-03-12,1079173.0397779685
2026-03-13,1069691.2897779685
2026-03-16,1060597.2897779685
2026-03-17,1066084.8397779686
2026-03-18,1065009.5897779686
2026-03-19,1056346.8897779686
2026-03-20,1060818.4897779687
2026-03-23,1056215.6397779686
2026-03-24,1056653.5397779685
2026-03-25,1060609.7397779685
2026-03-27,1061576.1397779686
2026-03-30,1060096.3397779686
2026-04-01,1065789.0397779685
2026-04-02,1064520.6397779686
2026-04-06,1065532.3397779686
2026-04-07,1063961.9397779685
2026-04-08,1064822.6397779686
2026-04-09,1065532.3397779686
2026-04-10,1066891.3397779686
2026-04-13,1065441.7397779685
2026-04-15,1070590.8397779686
2026-04-16,1072493.4397779685
2026-04-17,1072417.9397779685
2026-04-20,1069669.7397779685
2026-04-21,1073770.2051779684
2026-04-22,1073770.2051779684
2026-04-23,1073770.2051779684
2026-04-24,1073770.2051779684
2026-04-27,1073770.2051779684
2026-04-28,1073770.2051779684
2026-04-29,1073770.2051779684
2026-04-30,1073770.2051779684
2026-05-04,1083818.9187779683
2026-05-05,1083377.3187779684
2026-05-06,1087036.9779779685
2026-05-07,1086076.9779779683
2026-05-08,1085811.9779779685
2026-05-11,1086321.9779779683
2026-05-12,1083249.4779779685
2026-05-13,1081309.4779779683
2026-05-14,1089977.7290833916
2026-05-15,1086479.0090833916
2026-05-18,1083933.2490833916
2026-05-19,1088153.9705833914
2026-05-20,1092813.6205833915
2026-05-21,1098860.3605833915
2026-05-22,1102620.5405833917
2026-05-25,1114844.0105833914
2026-05-26,1130280.7372671221
2026-05-27,1141972.637267122
2026-05-29,1130533.787267122
2026-06-01,1124576.537267122
2026-06-02,1126016.537267122
2026-06-03,1122230.5743550695
2026-06-04,1124087.2243550695
2026-06-05,1112122.6493550695
2026-06-08,1078749.4493550695
2026-06-09,1095827.7993550696
2026-06-10,1075385.4993550696
2026-06-11,1072092.4993550696
2026-06-12,1082602.4993550696
2026-06-15,1081041.4993550696
2026-06-16,1081067.4993550696
2026-06-17,1095332.4993550696
2026-06-18,1097737.4993550696
2026-06-19,1105687.9993550696
2026-06-22,1106864.1863550697
2026-06-23,1109208.1863550697
2026-06-24,1091287.1863550697
2026-06-25,1086595.1863550697
2026-06-29,1096569.6863550697
2026-06-30,1096959.2471550698
2026-07-01,1087299.6471550697
2026-07-02,1085625.9471550696
2026-07-03,1078317.1861550696
2026-07-06,1077829.6861550696
2026-07-07,1074204.6861550696
2026-07-08,1072317.1861550696
2026-07-09,1071742.1861550696
2026-07-10,1076349.4839550694
2026-07-13,1074460.3839550696
2026-07-14,1067910.2839550697
2026-07-15,1065263.6547550696
2026-07-16,1062921.0547550698
2026-07-17,1060838.0547550698
2026-07-20,1061262.2757550697
2026-07-21,1069943.8257550697
2026-07-22,1072209.3757550698
2026-07-23,1065737.7257550699
2026-07-24,1055265.6257550698
2026-07-27,1057132.1636550697
2026-07-28,1060709.4136550697
2026-07-29,1068295.8136550698
2026-07-30,1071210.3136550698
2026-07-31,1092039.4636550697
2026-08-03,1107681.4999550697
2026-08-04,1113155.4859550698
2026-08-05,1113760.9859550698
2026-08-06,1112452.3859550697
2026-08-07,1111893.7359550698
2026-08-10,1116415.6359550697
2026-08-11,1113768.6859550697
2026-08-12,1118938.9859550698
2026-08-13,1124207.6859550697
2026-08-14,1118609.3359550699
2026-08-17,1123611.6859550697
2026-08-18,1129803.2859550696
